序号,审批状态,主键ID,主键ID版本号,启禁状态,技术标准版本号,关联物料,物料品类,物料大类,物料归属,适用生产基地代码,适用生产基地名称,检测项目代码,检测项目,是否判定,检测时间,抽样检测方式,取样部门,检测部门,定量定性,初检复检,检测单元数量,检测次数,检测单元单位,检测频率,取样数量,取样单位,是否扣减库存,库存扣减数量,库存扣减单位,检测工具,标准要求,异常标准项,检测指标单位,下限,上限,小数精确位数,异常处理最低不合格量,异常结果显示,检测方法,超标处理方案,备注,有效期起,有效期止
187,,HWBT0197,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,底盖蓝点外观,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,触觉、目测检查,表面光滑、颜色在样板范围内、无划伤杂质异物等,粗糙/颜色不在样板范围内/划伤/杂质异物/其他,,,,,1,复检,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。32罐均做本次检测。,若有不合格，取同一托20罐复检。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
188,,HWBT0198,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,底盖蓝点外观,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,触觉、目测检查,表面光滑、颜色在样板范围内、无划伤杂质异物等,粗糙/颜色不在样板范围内/划伤/杂质异物/其他,,,,,1,复检,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。32罐均做本次检测。,若有不合格，取同一托20罐复检。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
189,,HWBT0199,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000021,底盖蓝点直径,是,到货检测,,储运部,品管部,定量,复检,1,大于等于,托盘,,20,罐,是,20,罐,蓝点偏移量检测尺,18±0.5mm,,mm,17.5000,18.5000,1,1,退货处理,从初检问题托盘中每托取20罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
190,,HWBT0200,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000021,底盖蓝点直径,是,到货检测,,储运部,品管部,定量,复检,1,大于等于,托盘,,20,罐,是,20,罐,蓝点偏移量检测尺,18±0.5mm,,mm,17.5000,18.5000,1,1,退货处理,从初检问题托盘中每托取20罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
191,,HWBT0201,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000021,底盖蓝点偏移量,是,到货检测,,储运部,品管部,定量,复检,1,大于等于,托盘,,20,罐,是,20,罐,蓝点偏移量检测尺,≤2mm,,mm,0.0000,2.0000,,1,退货处理,从初检问题托盘中每托取20罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
192,,HWBT0202,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000021,底盖蓝点偏移量,是,到货检测,,储运部,品管部,定量,复检,1,大于等于,托盘,,20,罐,是,20,罐,蓝点偏移量检测尺,≤2mm,,mm,0.0000,2.0000,,1,退货处理,从初检问题托盘中每托取20罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
193,,HWBT0203,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000021,底盖蓝点外观,是,到货检测,,储运部,品管部,定性,复检,1,大于等于,托盘,,20,罐,是,20,罐,触觉、目测检查,表面光滑、颜色在样板范围内、无划伤杂质异物等,粗糙/颜色不在样板范围内/划伤/杂质异物/其他,,,,,1,退货处理,从初检问题托盘中每托取20罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
194,,HWBT0204,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000021,底盖蓝点外观,是,到货检测,,储运部,品管部,定性,复检,1,大于等于,托盘,,20,罐,是,20,罐,触觉、目测检查,表面光滑、颜色在样板范围内、无划伤杂质异物等,粗糙/颜色不在样板范围内/划伤/杂质异物/其他,,,,,1,退货处理,从初检问题托盘中每托取20罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
195,,HWBT0205,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,罐底墨码附着力,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,清晰可辨,,,,,,1,退货处理,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中24罐做本次检测。,若有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
196,,HWBT0206,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,罐底墨码附着力,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,清晰可辨,,,,,,1,退货处理,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中24罐做本次检测。,若有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
197,,HWBT0207,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,罐底墨码附着力,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,手指擦拭2次不掉墨,,,,,,1,退货处理,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中24罐做本次检测。,若有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
198,,HWBT0208,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,罐底墨码附着力,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,手指擦拭2次不掉墨,,,,,,1,退货处理,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中24罐做本次检测。,若有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
