u{FEFF}物料编码,产品名称,分类,对象,单位,标箱折扣系数,外箱价格,封箱方式,内包装形式,投放区域,箱入数,保质期,保质期预警(天),材质,是否赠品,是否启用,备注,创建时间
"10000978","红牛/普通型/250ML/24/2022普通装箱内码2期","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:44"
"10000962","红牛/普通型/250ML/24/1元乐享/2022","红牛促销型","西北1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:43"
"10000961","红牛/普通型/250ML/24/广东促销/2022","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:43"
"10000960","红牛/250ML/扫码促销/六罐装/缩膜装/2022","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:42"
"10000959","红牛/普通型/250ML/24/2022普通装箱内码","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:42"
"10000957","红牛/普通型/250ML/24/扫码促销-含箱内码/2022","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:41"
"10000955","红牛/普通型/250ML/24/扫码促销/2022","红牛促销型","扫码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:41"
"10000945","红牛/强化型/250ml/蓝色/24/27周年","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:40"
"10000944","红牛/普通型/250ML/六罐装/27周年","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:40"
"10000943","红牛/250ML/24/27周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:39"
"10000938","红牛/250ML/12/2022开门红加大礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:39"
"10000937","红牛/250ML/12/2022开门红礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:38"
"10000932","红牛/普通型/250ML/24/普通箱内码促销/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:25"
"10000931","红牛/普通型/250ML/24/箱内码/电子标签/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:23"
"10000928","红牛/250ML/12/2021双节礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:22"
"10000914","红牛/250ML/2021/扫码促销/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:22"
"10000919","红牛/普通型/250ML/24/1元享红牛/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:20"
"10000917","红牛/普通型/250ML/24/广东促销/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:20"
"10000916","红牛/普通型/250ML/24/广东促销-非电子标签/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:19"
"10000915","红牛/普通型/250ML/24/扫码促销-箱内码/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:18"
"10000913","红牛/普通型/250ML/24/扫码促销/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:17"
"10000845","红牛/250ML/2020/1元轻松享/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:16"
"10000843","红牛/250ML/2020/扫码促销/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:15"
"10000788","红牛/普通型/250ML/2019壹元再享/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:11"
"10000784","红牛/普通型/250ML/2019扫码促销/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:11"
"10000750","红牛/普通型/250ML/2018壹元乐享/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:09"
"10000746","红牛/普通型/250ML/2018扫码促销/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:07"
"10000901","红牛/普通型/250ML/六罐装/26周年","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:07"
"10000820","红牛/普通型/250ML/六罐装/25周年","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:06"
"10000387","红牛/普通型/250ML/六罐装/缩膜装","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:05"
"10000044","红牛维生素功能饮料/牛磺酸强化型/250ml/四罐装","强化四罐礼盒","强化型","CAR",0.167,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:03"
"10000001","红牛/强化型/250ml/蓝色/24","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:02"
"10000177","红牛/强化型/250ml/蓝色/24/充氮","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:01"
"10000902","红牛/强化型/250ml/蓝色/24/26周年","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:00"
"10000822","红牛/强化型/250ml/蓝色/24/25周年","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:21:00"
"10000844","红牛/普通型/250ML/24/1元轻松享/2020","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:59"
"10000787","红牛/普通型/250ML/24/壹元再享/2019","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:58"
"10000748","红牛/普通型/250ML/24/壹元乐享/2018","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:57"
"10000832","红牛/普通型/250ML/24/华新扫码-3元箱码/2020","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:56"
"10000831","红牛/普通型/250ML/24/扫码促销-3元箱码/2020","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:55"
"10000830","红牛/普通型/250ML/24/扫码促销-2元箱码/2020","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:55"
"10000794","红牛/普通型/250ML/24/扫码促销-3元纸箱/2019","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:54"
"10000829","红牛/普通型/250ML/24/扫码促销/2020","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:53"
"10000783","红牛/普通型/250ML/24/扫码促销/2019","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:52"
"10000795","红牛/普通型/250ML/24/华新/扫码促销-3元纸箱/2019","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:51"
"10000785","红牛/普通型/250ML/24/华新/扫码促销/2019","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:50"
"10000745","红牛/普通型/250ML/24/2018扫码促销/华新专供","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:48"
"10000744","红牛/普通型/250ML/24/扫码促销/2018","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:48"
"10000819","红牛/普通型/250ML/24/华新/25周年","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:47"
"10000163","红牛/普通型/250ml/24/华新/充氮","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:47"
"10000876","红牛/普通型/250ML/24/华南1元轻松享/2020","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:46"
"10000875","红牛/普通型/250ML/24/华南促销/2021","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:45"
"10000869","1","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:44"
"10000766","红牛/普通型/250ML/24/华新2元回收/2018","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:43"
"10000765","红牛/普通型/250ML/24/南区2元回收/2018","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:43"
"10000896","红牛/250ML/12/2021开门红专项礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:42"
"10000895","红牛/250ML/12/2021开门红礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:40"
"10000864","红牛/250ML/24/专供型","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:40"
"10000900","红牛/250ML/24/26周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:39"
"10000818","红牛/250ML/24/25周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:38"
"10000002","红牛/普通型/250ml/24/非卖品","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:38"
"10000813","红牛/普通型/250ml/24","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:20:37"
"10001188","红牛维生素功能饮料/普通型/250ML/24/31周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:05:58"
"10001199","红牛维生素功能饮料/普通型/250ML/24/普通箱内码/2026","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 09:46:46"
