序号,物料编码,商品名称,启/禁状态,单位重量(吨/箱),物料单位,单位货值(元/箱),纸箱价格(元/张),外包装箱价格,是否促销物料,是否箱内码促销,是否消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止,创建时间
208,60000252,果倍爽/白葡萄汁/六袋装/200ML/果小包盲盒,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:31
209,60000251,果倍爽/橙汁/六袋装/200ML/果小包盲盒,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:30
210,60000217,果倍爽/猕猴桃复合果汁/六袋装/200ML/2020年整箱促销,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:28
211,60000216,果倍爽/黑加仑复合果汁/六袋装/200ML/2020年整箱促销,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:28
212,60000215,果倍爽/桃苹果复合果汁/六袋装/200ML/2020年整箱促销,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:27
213,60000214,果倍爽/梨汁/六袋装/200ML/2020年整箱促销,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:27
214,60000213,果倍爽/白葡萄汁/六袋装/200ML/2020年整箱促销,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:26
215,60000211,果倍爽/橙汁/六袋装/200ML/2020年整箱促销,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:26
216,60000171,果倍爽/橙汁/六袋装/200ML/果小包,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:25
217,60000221,果倍爽/橙汁/六袋装/200ML/运动版果小包,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:24
218,60000185,果倍爽/猕猴桃复合果汁/六袋装/200ML/2019开箱有礼,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:24
219,60000184,果倍爽/黑加仑复合果汁/六袋装/200ML/2019开箱有礼,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:23
220,60000183,果倍爽/桃苹果复合果汁/六袋装/200ML/2019开箱有礼,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:23
221,60000182,果倍爽/梨汁/六袋装/200ML/2019开箱有礼,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:22
222,60000181,果倍爽/白葡萄汁/六袋装/200ML/2019开箱有礼,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:21
223,60000180,果倍爽/橙汁/六袋装/200ML/2019开箱有礼,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:20
224,60000091,果倍爽/猕猴桃复合果汁/200ML,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:20
225,60000090,果倍爽/黑加仑复合果汁/200ML,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:19
226,60000003,果倍爽/桃苹果复合果汁/200ML,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:18
227,60000002,果倍爽/梨汁/200ML,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:17
228,60000001,果倍爽/白葡萄汁/200ML,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:16
229,60000000,果倍爽/橙汁/200ML,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:15
230,11000182,战马/180ML/24/罐装/含气/柠檬味,启用,0.00498,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:14
231,11000181,战马/180ML/24/罐装/含气/西柚味,启用,0.00499,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:13
232,11000180,战马/180ML/24/罐装/含气/白桃味,启用,0.00499,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:13
233,11000179,战马/180ML/24/罐装/含气/无糖,启用,0.00499,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:12
234,11000164,战马/180ML/6/罐装/玉米低聚肽,启用,0.00128,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,0.250,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:12
235,11000163,战马/180ML/6/罐装/大豆肽,启用,0.00128,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,0.250,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:11
236,11000162,战马/180ML/6/罐装/浓郁型,启用,0.00128,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,0.250,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:11
237,11000161,战马/180ML/6/罐装/柠檬味,启用,0.00128,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,0.250,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:10
238,11000160,战马/180ML/6/罐装/西柚味,启用,0.00128,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,0.250,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:10
239,11000159,战马/180ML/6/罐装/白桃味,启用,0.00128,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,0.250,罐装战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:05
240,11000221,战马/310ML/24/罐装/广东云南促销-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:04
241,11000214,战马/310ML/24/罐装/2023/穿越火线联名版,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:04
242,11000208,战马/310ML/24/罐装/常规-LPL女版,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:02
243,11000207,战马/310ML/24/罐装/广深东扫码-LPL女版,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2023促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:01
244,11000206,战马/310ML/24/罐装/1元乐享2023-LPL女版,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2023促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:00
245,11000205,战马/310ML/24/罐装/常规-LPL男版,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:00
246,11000204,战马/310ML/24/罐装/广深东扫码-LPL男版,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2023促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:59
247,11000203,战马/310ML/24/罐装/1元乐享2023-LPL男版,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2023促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:59
248,11000202,战马/310ML/24/罐装/常规-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:58
249,11000201,战马/310ML/24/罐装/广深东扫码-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2023促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:58
250,11000200,战马/310ML/24/罐装/1元乐享2023-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2023促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:57
251,11000178,战马/310ML/24/罐装/2022/常规-LPL男版,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:56
252,11000177,战马/310ML/24/罐装/2022/1元即享-LPL女版,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2022促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:55
253,11000176,战马/310ML/24/罐装/2022/1元即享-LPL男版,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2022促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:53
254,11000174,战马/310ML/24/罐装/2022/常规-LPL女版,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:52
255,11000173,战马/310ML/24/罐装/2022/常规-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:52
256,11000172,战马/310ML/24/罐装/2022/1元即享-街舞,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2022促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:49
257,11000171,战马/310ML/24/罐装/2022/1元即享-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2022促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:48
258,11000156,战马/310ML/24/罐装/2021/和平精英/扫码红包,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2021促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:48
259,11000155,战马/310ML/24/罐装/2021/和平精英/礼上有礼,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2021促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:47
260,11000153,战马/310ML/24/罐装/2021/扫码红包,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2021促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:47
261,11000152,战马/310ML/24/罐装/2021/礼上有礼,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2021促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:46
262,11000011,战马/310ML/24/罐装,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:46
263,11000080,战马/310ML/24/罐装/赠饮,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:45
264,11000140,战马/310ML/24/罐装/2020/箱内码,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:43
265,11000096,战马/310ML/24/罐装/2020/1元畅享,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:43
266,11000086,战马/310ML/24/罐装/2019/壹元乐享二阶段,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:42
267,11000131,战马/310ML/24/罐装/2020/扫码红包,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:41
268,11000130,战马/310ML/24/罐装/2020/1元轻松享,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:40
269,11000063,战马/310ML/24/罐装/2019壹元乐享,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:40
270,11000012,战马/310ML/24/罐装/2018壹元乐享,启用,0.00840,CAR,,,0.00,否,否,否,否,罐装战马,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:39
271,11000143,战马/310ML/24/罐装/出口美国,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:36
272,11000092,战马/310ML/24/罐装/出口韩国,启用,0.00840,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:35
273,11000218,战马/500ML/24/含气,启用,0.01350,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:35
274,11000217,战马/500ML/24/原味,启用,0.01370,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:34
275,11000213,战马/400ML/15/不含气/常规-LPL女版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:34
276,11000212,战马/400ML/15/不含气/常规-LPL男版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:33
277,11000211,战马/400ML/15/不含气/2023/1元乐享-LPL女版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:33
278,11000210,战马/400ML/15/不含气/2023/1元乐享-LPL男版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:32
279,11000184,战马/400ML/15/不含气/2022/1元即享-LPL女版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:32
280,11000183,战马/400ML/15/不含气/2022/1元即享-LPL男版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:31
281,11000094,战马/400ML/15/不含气/出口韩国,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:31
282,11000151,战马/400ML/15/不含气/2021/扫码红包,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:30
283,11000150,战马/400ML/15/不含气/2021/礼上有礼,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:29
284,11000100,战马/400ML/15/不含气/2020/1元畅享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:29
285,11000083,战马/400ML/15/不含气/2019壹元乐享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:28
286,11000014,战马/400ML/15/不含气/2018壹元乐享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:26
287,11000084,战马/400ML/15/含气/2019壹元乐享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:26
288,11000015,战马/400ML/15/含气/2018壹元乐享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:25
289,11000046,战马/400ML/15/不含气/赠饮,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:20
290,11000047,战马/400ML/15/含气/赠饮,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:19
291,11000088,战马/400ML/15/不含气/2019要疯产品,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:18
292,11000040,战马/400ML/15/含气/战马要疯,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:18
293,11000112,战马/400ML/15/含气/2020/1元轻松享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:17
294,11000114,战马/400ML/15/含气/2020/扫码红包,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:16
295,11000113,战马/400ML/15/不含气/2020/1元轻松享,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:16
296,11000115,战马/400ML/15/不含气/2020/扫码红包,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:15
297,11000002,战马/400ML/15/含气,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:15
298,11000001,战马/400ML/15/不含气,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:13
299,,红牛胶带,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,0.000,,,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:12
300,10001044,红牛维生素功能饮料/普通型/250ML/24/29周年/广东箱内码一期/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:12
301,10001043,红牛维生素功能饮料/普通型/250ML/24/29周年/两元纸箱/台州专供一期,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:11
302,10001035,红牛维生素功能饮料/牛磺酸强化型/250ml/24/29周年纪念装,启用,0.00740,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:10
303,10001034,红牛维生素功能饮料/普通型/250ML/六罐装/29周年,启用,0.00185,包,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:10
304,10001033,红牛维生素功能饮料/普通型/250ML/24/29周年纪念装,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:09
305,10001029,红牛/250ML/24/28周年纪念装/广东促销二期/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:09
306,10001028,红牛/250ML/24/28周年纪念装/两元促销/台州专供三期,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:07
307,10001025,红牛/普通型/250ML/24/2023普通装箱内码二期,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:07
308,10001024,红牛/250ML/24/28周年纪念装/两元促销/台州专供二期,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:06
309,10001017,红牛/250ML/24/28周年普通型-含箱内码/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:06
310,10001020,红牛/普通型/250ML/24/广东促销/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:05
311,10001016,红牛/普通型/250ML/24/扫码促销-含箱内码/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:05
312,10001015,红牛/250ML/扫码促销/六罐装/2023,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:03
313,10001019,红牛/普通型/250ML/24/1元换购-藏区/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,西北1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:03
314,10001018,红牛/普通型/250ML/24/1元换购/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,西北1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:02
315,10001014,红牛/普通型/250ML/24/扫码促销/2023,启用,0.00740,CAR,,,0.00,否,否,否,否,扫码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:02
316,10001013,红牛/250ML/24/扫码促销/两元促销/台州专供,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:01
