序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
112,编辑 删除,564,10000000,红牛维生素功能饮料/普通型/250ml/24,0.00740,1.000,红牛,,红牛普通型,红牛普通型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2024-04-01 15:13:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 313, 'goods_id': 564, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
113,编辑 删除,563,10000134,红牛维生素功能饮料/普通型/250ml/24,0.00740,1.000,红牛,,红牛普通型,红牛普通型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2024-04-01 15:13:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 312, 'goods_id': 563, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
114,编辑 删除,562,10001059,红牛维生素功能饮料/普通型/250ML/24/扫码促销-含箱内码/2024,0.00740,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-03-25 18:41:50,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 307, 'goods_id': 562, 'weight': '0.00740', 'from_date': '2024-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 327, 'goods_id': 562, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
115,编辑 删除,561,10001058,红牛维生素功能饮料/普通型/250ML/扫码促销/六罐装/2024,0.00185,0.250,红牛,,红牛六联包,六联包,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-03-25 18:41:50,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 306, 'goods_id': 561, 'weight': '0.00185', 'from_date': '2024-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 326, 'goods_id': 561, 'weight': '0.00185', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
116,编辑 删除,560,10001057,红牛维生素功能饮料/普通型/250ML/24/扫码促销/2024,0.00740,1.000,红牛,,红牛促销型,扫码促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-03-25 18:41:50,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 305, 'goods_id': 560, 'weight': '0.00740', 'from_date': '2024-01-01', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 325, 'goods_id': 560, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
117,编辑 删除,556,11000234,战马/400ML/15/不含气/2024/1元乐享LPL版,0.00730,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,46,,2024-03-14 09:19:13,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 304, 'goods_id': 556, 'weight': '0.00730', 'from_date': '2024-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
118,编辑 删除,548,10001056,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码/2024,0.00740,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-03-06 09:00:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 303, 'goods_id': 548, 'weight': '0.00740', 'from_date': '2024-03-05', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 324, 'goods_id': 548, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
119,编辑 删除,546,11000231,战马/310ML/24/罐装/2024无箱内码/1元乐享-篮球,0.00840,1.000,罐装战马,,罐装战马,战马罐装2024促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2024-02-21 10:36:02,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 282, 'goods_id': 546, 'weight': '0.00840', 'from_date': '2024-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
120,编辑 删除,545,11000230,战马/310ML/24/罐装/2024箱内码/1元乐享-篮球,0.00840,1.000,罐装战马,,罐装战马,战马罐装2024促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2024-02-21 10:36:02,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 281, 'goods_id': 545, 'weight': '0.00840', 'from_date': '2024-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
121,编辑 删除,544,10001053,红牛维生素功能饮料/普通型/250ML/24/广东促销/2024,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-02-21 10:36:02,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 280, 'goods_id': 544, 'weight': '0.00740', 'from_date': '2024-02-21', 'expiry_date': '2024-03-31', 'status': 1}, {'id': 322, 'goods_id': 544, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
122,编辑 删除,532,好智粒1*15,好智粒1*15,0.00485,,,,,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 269, 'goods_id': 532, 'weight': '0.00485', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
123,编辑 删除,531,好智粒1*24,好智粒1*24,0.00650,,,,,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 268, 'goods_id': 531, 'weight': '0.00650', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
124,编辑 删除,530,好智粒1*12,好智粒1*12,0.00380,,,,,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 267, 'goods_id': 530, 'weight': '0.00380', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
125,编辑 删除,528,80000131,进口芙丝天然泉水/24/500ml/Still-蓝瓶,0.01350,1.000,进口芙丝,,进口芙丝Still,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 266, 'goods_id': 528, 'weight': '0.01350', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
126,编辑 删除,527,80000114,进口芙丝天然泉水/12/850ml/Still,0.01140,1.000,进口芙丝,,进口芙丝Still,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 265, 'goods_id': 527, 'weight': '0.01140', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
127,编辑 删除,526,80000106,进口芙丝苏打水/12/375ml/Sparkling-黄瓜柠檬味,0.00843,1.000,进口芙丝,,进口芙丝Sparkling,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 264, 'goods_id': 526, 'weight': '0.00843', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
128,编辑 删除,525,80000103,进口气泡果味水/8罐/355ml/柠檬黄瓜味,0.00310,1.000,进口芙丝,,进口芙丝气泡果味水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 263, 'goods_id': 525, 'weight': '0.00310', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
129,编辑 删除,524,80000102,进口气泡果味水/8罐/355ml/草莓生姜味,0.00310,1.000,进口芙丝,,进口芙丝气泡果味水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 262, 'goods_id': 524, 'weight': '0.00310', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
130,编辑 删除,523,80000071,进口芙丝苏打水/12/375ml/Sparkling-青柠薄荷味,0.00835,1.000,进口芙丝,,进口芙丝Sparkling,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 261, 'goods_id': 523, 'weight': '0.00835', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
131,编辑 删除,522,80000070,进口芙丝苏打水/12/375ml/Sparkling-柑橘柠檬草味,0.00843,1.000,进口芙丝,,进口芙丝Sparkling,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 260, 'goods_id': 522, 'weight': '0.00843', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
132,编辑 删除,521,80000015,进口芙丝天然泉水/24/500ml/Still,0.01350,1.000,进口芙丝,,进口芙丝Still,,0,1,3,,,,0,0,CAR,6,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 259, 'goods_id': 521, 'weight': '0.01350', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
133,编辑 删除,520,80000014,进口芙丝天然泉水/24/330ml/Still,0.00940,1.000,进口芙丝,,进口芙丝Still,,0,1,3,,,,0,0,CAR,6,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 258, 'goods_id': 520, 'weight': '0.00940', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
134,编辑 删除,519,80000013,进口芙丝天然泉水/12/800ml/Still,0.01661,1.000,进口芙丝,,进口芙丝Still,,0,1,3,,,,0,0,CAR,6,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 257, 'goods_id': 519, 'weight': '0.01661', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
135,编辑 删除,518,80000012,进口芙丝天然泉水/24/375ml/Still,0.01663,1.000,进口芙丝,,进口芙丝Still,,0,1,3,,,,0,0,CAR,6,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 256, 'goods_id': 518, 'weight': '0.01663', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
136,编辑 删除,517,80000011,进口芙丝苏打水/12/800ml/Sparkling,0.01661,1.000,进口芙丝,,进口芙丝Sparkling,,0,1,3,,,,0,0,CAR,6,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 255, 'goods_id': 517, 'weight': '0.01661', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
137,编辑 删除,516,80000010,进口芙丝苏打水/24/375ml/Sparkling,0.01675,1.000,进口芙丝,,进口芙丝Sparkling,,0,1,3,,,,0,0,CAR,6,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 254, 'goods_id': 516, 'weight': '0.01675', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
138,编辑 删除,515,,芙丝青提葡萄味气泡水,0.00860,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 253, 'goods_id': 515, 'weight': '0.00860', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
139,编辑 删除,514,81000177,国产/风味饮料/500ML/15瓶/夏黑葡萄味,0.00865,1.000,国产芙丝,,国产芙丝500ML风味,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 252, 'goods_id': 514, 'weight': '0.00865', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
140,编辑 删除,513,81000175,国产/风味饮料/500ML/15瓶/黄柠檬青柠,0.00865,1.000,国产芙丝,,国产芙丝500ML风味,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 251, 'goods_id': 513, 'weight': '0.00865', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
141,编辑 删除,512,81000172,国产/风味饮料/500ML/15瓶/樱花白桃味,0.00865,1.000,国产芙丝,,国产芙丝500ML风味,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 250, 'goods_id': 512, 'weight': '0.00865', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
142,编辑 删除,511,,芙丝蛋白肽气泡水荔枝玫瑰味,0.00670,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 249, 'goods_id': 511, 'weight': '0.00670', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
143,编辑 删除,510,,芙丝蛋白肽气泡水香茅味,0.00670,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 248, 'goods_id': 510, 'weight': '0.00670', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
144,编辑 删除,509,81000204,国产/芙丝水500ML/24瓶装/静安璞隽联标,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 247, 'goods_id': 509, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
145,编辑 删除,508,81000200,国产/芙丝水500ML/24瓶装/沙漠钻石联标,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 246, 'goods_id': 508, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
146,编辑 删除,507,81000199,国产/芙丝水330ML/24瓶装/白膜/割箱-厦航专供,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 245, 'goods_id': 507, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
147,编辑 删除,506,81000162,国产/芙丝水375ML/20瓶/玻璃瓶/黑珍珠联名,0.01380,1.000,国产芙丝,,国产芙丝375ML玻璃瓶,,0,1,3,,,,0,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 244, 'goods_id': 506, 'weight': '0.01380', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
148,编辑 删除,505,81000152,国产/芙丝水375ML/20瓶装/玻璃瓶,0.01380,1.000,国产芙丝,,国产芙丝375ML玻璃瓶,,0,1,3,,,,0,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 243, 'goods_id': 505, 'weight': '0.01380', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
149,编辑 删除,504,81000144,国产/芙丝水375ML/12瓶装/柑橘柠檬草,,1.000,国产芙丝,,国产芙丝375MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
150,编辑 删除,503,81000122,国产/芙丝水375ML/12瓶装/玻璃瓶,,1.000,国产芙丝,,国产芙丝375ML玻璃瓶,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
151,编辑 删除,502,81000121,国产/芙丝水375ML/24瓶装/玻璃瓶,,1.000,国产芙丝,,国产芙丝375ML玻璃瓶,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
152,编辑 删除,501,81000093,国产/芙丝蛋白肽气泡水249ml/12罐装/香茅味,,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
153,编辑 删除,500,81000120,芙丝蛋白肽/249ML*6*2/香茅,,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
154,编辑 删除,499,81000119,芙丝蛋白肽/249ML*6/香茅,,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
155,编辑 删除,498,81000092,国产/芙丝蛋白肽气泡水249ml/12罐装/荔枝玫瑰味,,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
156,编辑 删除,497,81000118,芙丝蛋白肽/249ML*6*2/荔枝玫瑰,,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
157,编辑 删除,496,81000117,芙丝蛋白肽/249ML*6/荔枝玫瑰,,1.000,国产芙丝,,国产芙丝蛋白肽,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
158,编辑 删除,495,81000108,国产/芙丝气泡水330ML/12瓶装/青提葡萄/含投奖卡,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 242, 'goods_id': 495, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
159,编辑 删除,494,81000107,国产/芙丝气泡水330ML/12瓶装/樱花白桃/含投奖卡,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 241, 'goods_id': 494, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
160,编辑 删除,493,81000106,国产/芙丝气泡水330ML/12瓶装/青柠生姜/含投奖卡,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 240, 'goods_id': 493, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
161,编辑 删除,492,81000193,国产/芙丝气泡水330ML/12瓶装/荔枝香橙,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 239, 'goods_id': 492, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
162,编辑 删除,491,81000105,国产/芙丝气泡水330ML/12瓶装/柠檬黄瓜,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 238, 'goods_id': 491, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
163,编辑 删除,490,81000104,国产/芙丝气泡水330ML/12瓶装/青提葡萄,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 237, 'goods_id': 490, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
164,编辑 删除,489,81000103,国产/芙丝气泡水330ML/12瓶装/樱花白桃,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 236, 'goods_id': 489, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
165,编辑 删除,488,81000102,国产/芙丝气泡水330ML/12瓶装/青柠生姜,0.00430,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 235, 'goods_id': 488, 'weight': '0.00430', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
